Résumé;Clé de ticket;ID de ticket;ID parent;Type de ticket;état;Clé de projet;Nom du projet;Type de projet;Chef de projet;Description du projet;URL du projet;Priorité;Résolution;Responsable;Rapporteur;Créateur;Création;Mise à jour;Dernier affichage;Résolue;Date d'échéance;Votes;Descriptif;Environnement;Gérer les observateurs;Estimation originale;Estimation restante;Temps consacré;Ratio du travail réel comparé à l'estimation;l' Estimation originale;l' Estimation restante;le Temps consacré;Niveau de sécurité;Champs personnalisés (Epic Color);Champs personnalisés (Epic Link);Champs personnalisés (Epic Name);Champs personnalisés (Epic Status);Champs personnalisés (Rank);Sprint;Champs personnalisés (Story Points);;
Fix permition issues;DEV-70;10401;10295;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;29/avr./22 12:31 PM;29/avr./22 12:31 PM;05/oct./22 9:44 AM;29/avr./22 12:31 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000k7:;SEMAINE 25/04 - 08/05;;;
Collect logs from private ip;DEV-69;10400;10295;Sous-tâche;En cours;DEV;DevOps;software;adminjira;;;Medium;;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;29/avr./22 12:29 PM;29/avr./22 1:11 PM;05/oct./22 9:47 AM;;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000jz:;SEMAINE 25/04 - 08/05;;;
Add the picture cropping feature just like it is on the edit campaign page picture upload;VER-2;10312;10311;Sous-tâche;A faire;VER;Vertivalraise;software;adminjira;;;High;;;aristide.mbassi;aristide.mbassi;29/avr./22 9:02 AM;29/avr./22 9:02 AM;05/oct./22 9:43 AM;;;0;;;aristide.mbassi;;;;;;;;;;;;;0|i000jr:;;;;
Auto approve picture upload changes;VER-1;10311;;Récit;A faire;VER;Vertivalraise;software;adminjira;;;High;;aristide.mbassi;aristide.mbassi;aristide.mbassi;29/avr./22 8:58 AM;29/avr./22 9:01 AM;05/oct./22 9:47 AM;;;0;Make it so the system will auto approve certain pages.;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"*I think we will need to add a section for the rep to upload the logo on this page so that it gets uploaded to Amply since this will be approved right away. This will also upload the logo to the system so the success email will have the logo in the PDF.""";;aristide.mbassi;;;;;;;;;;;;;0|i000jj:;;;;;;;;;;;;;;;;;;;;;;;;;;;
Add network lab server logs ;DEV-68;10310;10295;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;28/avr./22 4:10 PM;28/avr./22 4:11 PM;05/oct./22 9:47 AM;28/avr./22 4:10 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000jb:;SEMAINE 25/04 - 08/05;;;
Variabilize docker compose file;DEV-67;10309;10295;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;28/avr./22 4:09 PM;28/avr./22 4:10 PM;05/oct./22 9:47 AM;28/avr./22 4:10 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000j3:;SEMAINE 25/04 - 08/05;;;
Configure HTTPS;DEV-66;10308;10295;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;27/avr./22 8:51 AM;29/avr./22 1:10 PM;05/oct./22 9:47 AM;29/avr./22 1:10 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000iv:;SEMAINE 25/04 - 08/05;;;
Configure Graylog to read containers logs;DEV-65;10307;10295;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;27/avr./22 8:50 AM;28/avr./22 4:09 PM;05/oct./22 9:47 AM;28/avr./22 4:09 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000in:;SEMAINE 25/04 - 08/05;;;
Read documention on elasticsearch and Graylog;DEV-64;10306;10295;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 1:21 PM;27/avr./22 8:50 AM;05/oct./22 9:47 AM;27/avr./22 8:50 AM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000i7:;SEMAINE 25/04 - 08/05;;;
Write docker-compose;DEV-63;10305;10295;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 1:16 PM;27/avr./22 8:48 AM;05/oct./22 9:47 AM;27/avr./22 8:48 AM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000if:;SEMAINE 25/04 - 08/05;;;
Configure upload size limit nexus;DEV-62;10304;10296;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 10:42 AM;26/avr./22 10:58 AM;05/oct./22 9:47 AM;26/avr./22 10:58 AM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000hz:;SEMAINE 25/04 - 08/05;;;
Configuration de zoho mail;AFA-27;10303;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;adminjira;adminjira;adminjira;26/avr./22 9:41 AM;26/avr./22 9:41 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;AFA-26;;;0|i000hr:;;;;
Configurer zoho mail pour l'ajout des adresses emails du client;AFA-26;10302;;épopée;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;26/avr./22 9:41 AM;26/avr./22 9:41 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-13;;Configuration des mails;To Do;0|i000hj:;;;;
Push and pull user service image;DEV-61;10301;10296;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 9:41 AM;26/avr./22 1:13 PM;05/oct./22 9:47 AM;26/avr./22 1:13 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000hb:;SEMAINE 25/04 - 08/05;;;
Push and pull frontend image;DEV-60;10300;10296;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 9:39 AM;26/avr./22 10:58 AM;05/oct./22 9:47 AM;26/avr./22 10:58 AM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000h3:;SEMAINE 25/04 - 08/05;;;
Installer collabora office et matcher avec nextcloud;DEV-59;10299;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;adminjira;adminjira;adminjira;26/avr./22 9:39 AM;04/05/2022 08:24;05/oct./22 9:47 AM;04/05/2022 08:24;;0;;;adminjira;;;;;;;;;;;;;0|i000gv:;;;;
push and pull compagny managemt image;DEV-58;10298;10296;Sous-tâche;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 9:35 AM;26/avr./22 11:45 AM;05/oct./22 9:47 AM;26/avr./22 11:45 AM;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000gn:;SEMAINE 25/04 - 08/05;;;
Deploy and configure internal services;DEV-57;10297;;épopée;A faire;DEV;DevOps;software;adminjira;;;Medium;;;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 9:30 AM;26/avr./22 9:33 AM;05/oct./22 9:47 AM;;;0;;;dalbiaz.lekoubou;;;;;;;;;ghx-label-11;;Graylog Deployment;To Do;0|i000gf:;;;;
Push and pull networklab frontend & backend from nexus in gitlab ci;DEV-56;10296;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 9:21 AM;26/avr./22 1:13 PM;05/oct./22 9:47 AM;26/avr./22 1:13 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-14;;;0|i0002j:r;SEMAINE 25/04 - 08/05;;;
Deploy and Configure Graylog on Nextcloud server;DEV-55;10295;;Récit;En cours;DEV;DevOps;software;adminjira;;;Medium;;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 9:17 AM;26/avr./22 1:14 PM;05/oct./22 9:47 AM;;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-57;;;0|i0002j:w;SEMAINE 25/04 - 08/05;;;
Déployer l'application front-end dms-mbs-client;DEV-54;10294;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;adminjira;adminjira;adminjira;26/avr./22 8:23 AM;26/avr./22 9:31 AM;05/oct./22 9:47 AM;26/avr./22 9:31 AM;;0;;;adminjira;;;;;;;;;;;;;0|i000g7:;;;;
Reading about Terraform;DEV-53;10293;;Récit;A faire;DEV;DevOps;software;adminjira;;;Medium;;;dalbiaz.lekoubou;dalbiaz.lekoubou;26/avr./22 8:20 AM;26/avr./22 9:12 AM;05/oct./22 9:47 AM;;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i000fz:;;;;
push image with another user other than admin;DEV-52;10292;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;25/avr./22 1:35 PM;25/avr./22 1:51 PM;05/oct./22 9:47 AM;25/avr./22 1:51 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-40;;;0|i0002j:i;SEMAINE 25/04 - 08/05;;;
YGVFG;DEV-51;10291;;Tâche;A faire;DEV;DevOps;software;adminjira;;;Medium;;;leslie.mbango;leslie.mbango;25/avr./22 9:46 AM;25/avr./22 9:46 AM;05/oct./22 9:47 AM;;;0;;;leslie.mbango;;;;;;;;;;DEV-14;;;0|i0002m:;SEMAINE 25/04 - 08/05;;;
Configure Https for push and pull ;DEV-50;10290;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;25/avr./22 9:37 AM;25/avr./22 1:10 PM;05/oct./22 9:47 AM;25/avr./22 1:10 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-40;;;0|i0002j:;SEMAINE 25/04 - 08/05;;;
Write user documentation;DEV-49;10289;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;21/avr./22 11:35 AM;25/avr./22 2:24 PM;05/oct./22 9:47 AM;25/avr./22 2:24 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-40;;;0|i0002i:;SEMAINE 25/04 - 08/05;;;
Deployer un cluster Kubernetes avec Terraform sur DigitalOcean;DEV-48;10288;;Récit;A faire;DEV;DevOps;software;adminjira;;;Medium;;marie.mbanga;adminjira;adminjira;21/avr./22 8:28 AM;04/05/2022 15:52;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;DEV-43;;;0|i0002d:i;SEMAINE 25/04 - 08/05;;;
Déploiement l'api et le front-end;FM-10;10287;;épopée;A faire;FM;FILE MANAGEMENT;software;adminjira;;;Medium;;;adminjira;adminjira;21/avr./22 8:26 AM;21/avr./22 8:27 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-9;;Déploiement api et front-end;To Do;0|i000fr:;;;;
Quick training terraform;DEV-47;10286;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;21/avr./22 8:22 AM;25/avr./22 9:04 AM;05/oct./22 9:47 AM;25/avr./22 9:04 AM;;0;;;adminjira;;;;;;;;;;DEV-43;;;0|i0002c:;SEMAINE 11/04 - 23/04;;;
Integrer le code qa avec stylelint; dast; phpstan et php security audit; styleci dans le pipeline du projet test;DEV-46;10285;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;21/avr./22 8:21 AM;21/avr./22 8:30 AM;05/oct./22 9:47 AM;21/avr./22 8:30 AM;;0;;;adminjira;;;;;;;;;;DEV-13;;;0|i00010:;SEMAINE 11/04 - 23/04
Integrer clair-scaner dans les pipelines CI/CD;DEV-45;10284;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;21/avr./22 8:19 AM;21/avr./22 8:30 AM;05/oct./22 9:47 AM;21/avr./22 8:30 AM;;0;;;adminjira;;;;;;;;;;DEV-13;;;0|i0001i:;SEMAINE 11/04 - 23/04;;;
Déployer les applications Api et Front-end;DEV-44;10283;;épopée;A faire;DEV;DevOps;software;adminjira;;;Medium;;;adminjira;adminjira;21/avr./22 8:18 AM;25/avr./22 10:46 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-7;;Déploiement l'api et le front-end;To Do;0|i000fb:;;;;
Prise en main de TERRAFORM pour IAC;DEV-43;10282;;épopée;A faire;DEV;DevOps;software;adminjira;;;Medium;;;adminjira;adminjira;21/avr./22 8:17 AM;21/avr./22 8:28 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-5;;Prise en main de TERRAFORM pour IAC;To Do;0|i000f3:;;;;
Déployer l'api de file management;FM-9;10281;;Récit;Fini;FM;FILE MANAGEMENT;software;adminjira;;;Medium;Terminé;adminjira;adminjira;adminjira;21/avr./22 8:12 AM;21/avr./22 8:28 AM;05/oct./22 9:47 AM;21/avr./22 8:28 AM;;0;;;adminjira;;;;;;;;;;FM-10;;;0|i000d6:;FM Sprint  SEMAINE 11-16/2022;;;
Configure Nexus to run as services; in other to run on server reboot;DEV-42;10280;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;20/avr./22 3:29 PM;25/avr./22 9:03 AM;05/oct./22 9:43 AM;25/avr./22 9:03 AM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-40;;;0|i0002b:w;SEMAINE 11/04 - 23/04;;
Read documentation on prerequisis; installation method.;DEV-41;10279;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;20/avr./22 3:07 PM;25/avr./22 9:03 AM;05/oct./22 9:47 AM;25/avr./22 9:03 AM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-40;;;0|i0002a:x;SEMAINE 11/04 - 23/04;;
have our own private docker repo;DEV-40;10278;;épopée;A faire;DEV;DevOps;software;adminjira;;;Medium;;;dalbiaz.lekoubou;dalbiaz.lekoubou;20/avr./22 3:03 PM;25/avr./22 1:35 PM;05/oct./22 9:47 AM;;;0;;;dalbiaz.lekoubou;;;;;;;;;ghx-label-3;;Install Nexus Repository Manag;To Do;0|i000ev:;;;;
Update .gilab_ci code to meet variabilization; and ansible script that has been reorganize;DEV-39;10277;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;20/avr./22 2:53 PM;20/avr./22 2:56 PM;05/oct./22 9:47 AM;20/avr./22 2:56 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-14;;;0|i0002a:y;SEMAINE 11/04 - 23/04;;
Fix mange-users code with MR review suggestions;DEV-38;10276;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;20/avr./22 2:51 PM;20/avr./22 2:55 PM;05/oct./22 9:47 AM;20/avr./22 2:55 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-34;;;0|i0002a:w;SEMAINE 11/04 - 23/04;;;
Reorgasize ansible code for manual docker deployment playbook; and gitlab_ci playbook;DEV-37;10275;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;20/avr./22 2:47 PM;20/avr./22 2:57 PM;05/oct./22 9:47 AM;20/avr./22 2:57 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-14;;;0|i0002a:r;SEMAINE 11/04 - 23/04;;
Rédaction du document de conception du projet;AFA-25;10274;;Récit;Fini;AFA;AFA;software;adminjira;;;Medium;Terminé;adminjira;adminjira;adminjira;20/avr./22 6:26 AM;26/avr./22 9:43 AM;05/oct./22 9:47 AM;26/avr./22 9:43 AM;;0;;;adminjira;;;;;;;;;;AFA-23;;;0|i000en:;AFA SEMAINE 11-16 /2022;;;
Update remove user Script;DEV-36;10273;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;15/avr./22 4:17 PM;15/avr./22 4:18 PM;05/oct./22 9:47 AM;15/avr./22 4:18 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-34;;;0|i0002a:h;SEMAINE 11/04 - 23/04;;;
Update Read me after code has been refactored;DEV-35;10272;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;15/avr./22 4:16 PM;15/avr./22 4:18 PM;05/oct./22 9:47 AM;15/avr./22 4:18 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-34;;;0|i0002a:g;SEMAINE 11/04 - 23/04;;;
Automation-Ansible;DEV-34;10271;;épopée;A faire;DEV;DevOps;software;adminjira;;;Medium;;;dalbiaz.lekoubou;dalbiaz.lekoubou;14/avr./22 12:10 PM;20/avr./22 2:55 PM;05/oct./22 9:47 AM;;;0;;;dalbiaz.lekoubou;;;;;;;;;ghx-label-1;;Autaumate User creation to a given Server;To Do;0|i000ef:;;;;
Update Playbook README;DEV-33;10270;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;14/avr./22 11:19 AM;14/avr./22 12:08 PM;05/oct./22 9:47 AM;14/avr./22 12:08 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-14;;;0|i0002a:f;SEMAINE 11/04 - 23/04;;;
Edit Ansible script + Gitlab pipeline README;DEV-32;10269;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;14/avr./22 11:18 AM;14/avr./22 11:28 AM;05/oct./22 9:47 AM;14/avr./22 11:25 AM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-14;;;0|i0002a:c;SEMAINE 11/04 - 23/04;;;
Read public key from a common folder;DEV-31;10268;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;14/avr./22 11:17 AM;15/avr./22 4:12 PM;05/oct./22 9:47 AM;15/avr./22 4:12 PM;;0;Read public key of the local user serveur from a common folder in order to add with user name and right;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Â """;;dalbiaz.lekoubou;;;;;;;;;;DEV-34;;;0|i0002b:;SEMAINE 11/04 - 23/04;;;;;;;;;;;;;;;;;;;;;;;;;;
Add Ansible vault to Frontend Ansible script for piline;DEV-30;10267;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;14/avr./22 11:04 AM;20/avr./22 2:42 PM;05/oct./22 9:47 AM;20/avr./22 2:42 PM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-14;;;0|i0002a:9;SEMAINE 11/04 - 23/04;;;
Write frontend Ansible scipt for for Gitlab pipiline;DEV-29;10266;;Récit;A faire;DEV;DevOps;software;adminjira;;;Medium;;;dalbiaz.lekoubou;dalbiaz.lekoubou;14/avr./22 11:03 AM;26/avr./22 8:19 AM;05/oct./22 9:47 AM;;;0;;;dalbiaz.lekoubou;;;;;;;;;;;;;0|i0002l:;;;;
Rédaction du cahier de conception du projet ;AFA-24;10265;;Récit;En cours;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;13/avr./22 2:16 PM;19/avr./22 9:09 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;AFA-23;;;0|i000dz:;;;;
Dans cette partie nous regroupons tout ce qui est mise en place du projet avant l'étape de dev proprement dite;AFA-23;10264;;épopée;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;13/avr./22 2:13 PM;26/avr./22 9:41 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-13;;Conception du projet;To Do;0|i000dr:;;;;
Module gestion des utilisateurs;AFA-22;10263;;épopée;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;13/avr./22 2:04 PM;13/avr./22 2:05 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-11;;Module gestion des utilisateurs;To Do;0|i000dj:;;;;
Ajout d'une etape de scan d'image docker avec Clair-scanner dans les pipelines CI des projets internes;DEV-28;10262;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;13/avr./22 1:10 PM;15/avr./22 12:52 PM;05/oct./22 9:47 AM;15/avr./22 12:52 PM;;0;;;adminjira;;;;;;;;;;DEV-13;;;0|i0001z:4;SEMAINE 11/04 - 23/04;;;
Modifier les chaines de connexion et code du front pour qu'il consomme l'api;FM-8;10261;;Récit;En cours;FM;FILE MANAGEMENT;software;adminjira;;;Medium;;cabraule.ketchanga;adminjira;adminjira;13/avr./22 1:00 PM;13/avr./22 1:03 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;FM-2;;;0|i000cn:;FM Sprint  SEMAINE 11-16/2022;;;
Tester le crud depuis les interfaces de l'application;FM-7;10260;;Récit;En cours;FM;FILE MANAGEMENT;software;adminjira;;;Medium;;cabraule.ketchanga;adminjira;adminjira;13/avr./22 12:58 PM;15/avr./22 1:05 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;FM-2;;;0|i000cf:;FM Sprint  SEMAINE 11-16/2022;;;
Tester les endpoints sous plusieurs environnement;FM-6;10259;;Récit;En cours;FM;FILE MANAGEMENT;software;adminjira;;;Medium;;cabraule.ketchanga;adminjira;adminjira;13/avr./22 12:51 PM;13/avr./22 1:03 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;FM-1;;;0|i000d1:;FM Sprint  SEMAINE 11-16/2022;;;
