Résumé;Clé de ticket;ID de ticket;ID parent;Type de ticket;état;Clé de projet;Nom du projet;Type de projet;Chef de projet;Description du projet;URL du projet;Priorité;Résolution;Responsable;Rapporteur;Créateur;Création;Mise à jour;Dernier affichage;Résolue;Date d'échéance;Votes;Descriptif;Environnement;Gérer les observateurs;Estimation originale;Estimation restante;Temps consacré;Ratio du travail réel comparé à l'estimation;l' Estimation originale;l' Estimation restante;le Temps consacré;Niveau de sécurité;Champs personnalisés (Epic Color);Champs personnalisés (Epic Link);Champs personnalisés (Epic Name);Champs personnalisés (Epic Status);Champs personnalisés (Rank);Sprint;Champs personnalisés (Story Points);;
Conteneuriser l'application et tester le Dockerfile;FM-5;10258;;Récit;Fini;FM;FILE MANAGEMENT;software;adminjira;;;Medium;Terminé;cabraule.ketchanga;adminjira;adminjira;13/avr./22 12:50 PM;13/avr./22 1:02 PM;05/oct./22 9:47 AM;13/avr./22 1:02 PM;;0;;;adminjira;;;;;;;;;;FM-1;;;0|i000d0:;FM Sprint  SEMAINE 11-16/2022;;;
Documenter les endpoints;FM-4;10257;;Récit;Fini;FM;FILE MANAGEMENT;software;adminjira;;;Medium;Terminé;cabraule.ketchanga;adminjira;adminjira;13/avr./22 12:49 PM;13/avr./22 1:03 PM;05/oct./22 9:47 AM;13/avr./22 1:03 PM;;0;;;adminjira;;;;;;;;;;FM-1;;;0|i000d3:;FM Sprint  SEMAINE 11-16/2022;;;
Developper les endpoints;FM-3;10256;;Récit;Fini;FM;FILE MANAGEMENT;software;adminjira;;;Medium;Terminé;cabraule.ketchanga;adminjira;adminjira;13/avr./22 12:49 PM;13/avr./22 1:02 PM;05/oct./22 9:47 AM;13/avr./22 1:02 PM;;0;;;adminjira;;;;;;;;;;FM-1;;;0|i000cv:;FM Sprint  SEMAINE 11-16/2022;;;
Integrer l'API et frontEND;FM-2;10255;;épopée;A faire;FM;FILE MANAGEMENT;software;adminjira;;;Medium;;;adminjira;adminjira;13/avr./22 12:48 PM;13/avr./22 1:00 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-9;;Integrer l'API et frontEND;To Do;0|i000bb:;;;;
Developer l'API et tester;FM-1;10254;;épopée;Fini;FM;FILE MANAGEMENT;software;adminjira;;;Medium;Terminé;;adminjira;adminjira;13/avr./22 12:47 PM;15/avr./22 1:05 PM;05/oct./22 9:47 AM;15/avr./22 1:05 PM;;0;;;adminjira;;;;;;;;;ghx-label-7;;Developer l'API et tester;To Do;0|i000b3:;;;;
toto;NLF-10;10253;;Récit;A faire;NLF;Network Lab Frontend;software;adminjira;;;Medium;;;adminjira;adminjira;13/avr./22 12:41 PM;13/avr./22 12:41 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;NLF-8;;;0|i000av:;;;;
Tests fonctionnels;NLF-9;10252;;épopée;A faire;NLF;Network Lab Frontend;software;adminjira;;;Medium;;;adminjira;adminjira;13/avr./22 12:36 PM;13/avr./22 12:36 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-5;;Tests fonctionnels;To Do;0|i000an:;;;;
Module gestion des Labs;NLF-8;10251;;épopée;A faire;NLF;Network Lab Frontend;software;adminjira;;;Medium;;;adminjira;adminjira;13/avr./22 12:35 PM;13/avr./22 12:41 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-2;;Module gestion des Labs;To Do;0|i000af:;;;;
Module gestion des compagnies;NLF-7;10250;;épopée;A faire;NLF;Network Lab Frontend;software;adminjira;;;Medium;;;adminjira;adminjira;13/avr./22 12:34 PM;13/avr./22 12:38 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-13;;Module gestion des compagnies;To Do;0|i000a7:;;;;
Module gestion des utilisateurs ;NLF-6;10249;;épopée;A faire;NLF;Network Lab Frontend;software;adminjira;;;Medium;;;adminjira;adminjira;13/avr./22 12:33 PM;13/avr./22 12:38 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-11;;Module gestion des utilisateurs ;To Do;0|i0009z:;;;;
Review ansible playbook in order to deploy frontend only in gitlab-ci;DEV-27;10248;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;13/avr./22 10:54 AM;14/avr./22 11:29 AM;05/oct./22 9:47 AM;14/avr./22 11:25 AM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-14;;;0|i0002a:i;SEMAINE 11/04 - 23/04;;;
Mise à jour dossier du personnel;AR-1;10247;;Tâche;A faire;AR;ADMISTRATION RHOPENLABS;business;adminjira;;;Medium;;leslie.mbango;leslie.mbango;leslie.mbango;13/avr./22 9:32 AM;13/avr./22 9:32 AM;05/oct./22 9:47 AM;;;0;;;leslie.mbango;;;;;;;;;;;;;0|i0009r:;;;;
Create docker account with pro email address;DEV-26;10246;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;dalbiaz.lekoubou;dalbiaz.lekoubou;13/avr./22 9:23 AM;14/avr./22 11:29 AM;05/oct./22 9:47 AM;13/avr./22 9:28 AM;;0;;;dalbiaz.lekoubou;;;;;;;;;;DEV-14;;;0|i00029:;SEMAINE 11/04 - 23/04;;;
Parametrer l'application;DEV-25;10245;;Récit;A faire;DEV;DevOps;software;adminjira;;;Medium;;adminjira;adminjira;adminjira;12/avr./22 1:41 PM;25/avr./22 9:08 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;DEV-22;;;0|i0002k:;SEMAINE 25/04 - 08/05;;;
Documenter les installations;DEV-24;10244;;Récit;A faire;DEV;DevOps;software;adminjira;;;Medium;;adminjira;adminjira;adminjira;12/avr./22 1:41 PM;25/avr./22 9:08 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;DEV-22;;;0|i0002g:;SEMAINE 25/04 - 08/05;;;
Deployer NextCloud avec docker sur un serveur d'Infra;DEV-23;10243;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;adminjira;adminjira;adminjira;12/avr./22 1:40 PM;21/avr./22 11:34 AM;05/oct./22 9:47 AM;21/avr./22 11:34 AM;;0;;;adminjira;;;;;;;;;;DEV-22;;;0|i0002b:i;SEMAINE 11/04 - 23/04;;;
Deploiement de NextCloud;DEV-22;10242;;épopée;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;;adminjira;adminjira;12/avr./22 1:39 PM;04/05/2022 08:27;05/oct./22 9:47 AM;04/05/2022 08:27;;0;;;adminjira;;;;;;;;;ghx-label-8;;Deploiement de NextCloud;To Do;0|i0008v:;;;;
Documenter les installations de SONARQUBE;DEV-21;10241;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;12/avr./22 1:35 PM;15/avr./22 12:51 PM;05/oct./22 9:47 AM;15/avr./22 12:51 PM;;0;;;adminjira;;;;;;;;;;DEV-13;;;0|i0001z:9;SEMAINE 11/04 - 23/04;;;
securiser le domaine de sonarqube;DEV-20;10240;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;12/avr./22 1:35 PM;12/avr./22 1:37 PM;05/oct./22 9:47 AM;12/avr./22 1:37 PM;;0;;;adminjira;;;;;;;;;;DEV-13;;;0|i0001w:;SEMAINE 11/04 - 23/04;;;
Creer script ansible degestion des droits et utilisateurs sur les serveurs;DEV-19;10239;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;adminjira;adminjira;12/avr./22 1:27 PM;12/avr./22 1:34 PM;05/oct./22 9:47 AM;12/avr./22 1:34 PM;;0;;;adminjira;;;;;;;;;;DEV-14;;;0|i00023:i;SEMAINE 11/04 - 23/04;;;
Configuration du runner gitlab;DEV-18;10238;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;adminjira;adminjira;12/avr./22 1:27 PM;14/avr./22 11:26 AM;05/oct./22 9:47 AM;14/avr./22 11:26 AM;;0;;;adminjira;;;;;;;;;;DEV-14;;;0|i00020:;SEMAINE 11/04 - 23/04;;;
Ajout pipeline CI/CD gitlab;DEV-17;10237;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;adminjira;adminjira;12/avr./22 1:26 PM;14/avr./22 11:00 AM;05/oct./22 9:47 AM;14/avr./22 11:00 AM;;0;;;adminjira;;;;;;;;;;DEV-14;;;0|i00024:;SEMAINE 11/04 - 23/04;;;
Deploiement manuel sur docker;DEV-16;10236;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;adminjira;adminjira;12/avr./22 1:24 PM;12/avr./22 1:34 PM;05/oct./22 9:47 AM;12/avr./22 1:34 PM;;0;;;adminjira;;;;;;;;;;DEV-14;;;0|i00023:;SEMAINE 11/04 - 23/04;;;
Ecrire le script ansible et deploiement;DEV-15;10235;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;dalbiaz.lekoubou;adminjira;adminjira;12/avr./22 1:24 PM;12/avr./22 1:33 PM;05/oct./22 9:47 AM;12/avr./22 1:33 PM;;0;;;adminjira;;;;;;;;;;DEV-14;;;0|i00026:;SEMAINE 11/04 - 23/04;;;
Implementer le deploiement avec Ansible du projet Frontend network lab;DEV-14;10234;;épopée;A faire;DEV;DevOps;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 1:21 PM;26/avr./22 9:28 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-6;;Implementer le deploiement avec Ansible du projet Frontend network lab;To Do;0|i0008n:;;;;
Prise en main du code quality testing;DEV-13;10233;;épopée;A faire;DEV;DevOps;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 1:19 PM;21/avr./22 8:21 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-4;;Prise en main dcod quality testing;To Do;0|i0008f:;;;;
Disaster Recovery Planing;DEV-12;10232;;épopée;A faire;DEV;DevOps;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 1:13 PM;23/avr./22 2:31 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;ghx-label-1;;Mise en place d'un systeme DRP des infras ;To Do;0|i00087:;;;;
Mettre en place le login automatique;NLF-5;10231;;Récit;Fini;NLF;Network Lab Frontend;software;adminjira;;;Medium;Terminé;thimotee.kenmogne;adminjira;adminjira;12/avr./22 1:08 PM;18/avr./22 8:31 AM;05/oct./22 9:47 AM;18/avr./22 8:31 AM;;0;;;adminjira;;;;;;;;;;NLF-6;;;0|i0007z:;NLFTable Semaine 11-16/04;;;
Terminer les redirections d'authentification;NLF-4;10230;;Récit;Fini;NLF;Network Lab Frontend;software;adminjira;;;Medium;Terminé;thimotee.kenmogne;adminjira;adminjira;12/avr./22 1:08 PM;13/avr./22 12:40 PM;05/oct./22 9:47 AM;13/avr./22 12:40 PM;;0;;;adminjira;;;;;;;;;;NLF-6;;;0|i0007r:;NLFTable Semaine 11-16/04;;;
Faire la page de profile d'un eleve;NLF-3;10229;;Récit;Fini;NLF;Network Lab Frontend;software;adminjira;;;Medium;Terminé;thimotee.kenmogne;thimotee.kenmogne;adminjira;12/avr./22 1:07 PM;13/avr./22 12:40 PM;05/oct./22 9:47 AM;13/avr./22 12:40 PM;;0;;;adminjira;;;;;;;;;;NLF-7;;;0|i00085:;NLFTable Semaine 11-16/04;;;
Faire la page de profile d'un enseignant;NLF-2;10228;;Récit;Fini;NLF;Network Lab Frontend;software;adminjira;;;Medium;Terminé;thimotee.kenmogne;adminjira;adminjira;12/avr./22 1:06 PM;13/avr./22 12:40 PM;05/oct./22 9:47 AM;13/avr./22 12:40 PM;;0;;;adminjira;;;;;;;;;;NLF-7;;;0|i00084:;NLFTable Semaine 11-16/04;;;
Faire la page de profile d'une company;NLF-1;10227;;Récit;Fini;NLF;Network Lab Frontend;software;adminjira;;;Medium;Terminé;thimotee.kenmogne;adminjira;adminjira;12/avr./22 1:05 PM;13/avr./22 12:40 PM;05/oct./22 9:47 AM;13/avr./22 12:40 PM;;0;;;adminjira;;;;;;;;;;NLF-7;;;0|i00073:;NLFTable Semaine 11-16/04;;;
Visualiser un live streaming vidéo depuis youtube;AFA-21;10226;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 11:03 AM;12/avr./22 11:03 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0006v:;;;;
Poser des questions sur le site en renseignant au minimum son nom et son adresse mail ;AFA-20;10225;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 11:02 AM;12/avr./22 11:02 AM;05/oct./22 9:43 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0006n:;;;;
Changer la langue entre le français et l'anglais;AFA-19;10224;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 11:02 AM;12/avr./22 11:02 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0006f:;;;;
Visualiser les annonces et les publicités sur le site;AFA-18;10223;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 11:02 AM;12/avr./22 11:02 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i00067:;;;;
Visualiser la présentation des entreprises partenaires;AFA-17;10222;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 11:02 AM;12/avr./22 11:02 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0005z:;;;;
Visualiser les stats des matchs en fonction des critères de recherche (date du match; saison; etc);AFA-16;10221;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 11:01 AM;12/avr./22 11:01 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0005r:;;
Consulter les programmes de marche sportives; football messieurs et dames;AFA-15;10220;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 11:01 AM;12/avr./22 11:01 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0005j:;;;
Visualiser la présentation de la mission; des photos des membres; l'organigramme de l'association;AFA-14;10219;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 10:55 AM;12/avr./22 10:55 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0005b:;;
Visualiser les différentes pages de présentation de l'APECAM (président; historique; fonctionnement);AFA-13;10218;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 10:55 AM;12/avr./22 10:55 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i00053:;;
Enregistrer la liste des matchs; le classement des équipes par saison; les joueurs par club.;AFA-12;10217;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 10:54 AM;12/avr./22 10:54 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0004v:;;
Créer les partenaires sur la plateforme et ajouter les informations de présentation de ces partenaires (nom; description; secteur d'activité; etcâ€¦.);AFA-11;10216;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 10:54 AM;12/avr./22 10:54 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0004n:;
La réponse aux questions des internautes se fait directement via l'application ou alors via la boÃ®te de mail privée de la plateforme(Je propose via l'application directement) ?;AFA-10;10215;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 10:54 AM;12/avr./22 10:54 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0004f:;;;;
Publier les visuels photos et vidéos ;AFA-9;10214;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 10:54 AM;12/avr./22 10:54 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i00047:;;;;
Lister les questions posées par les utilisateurs sur le site;AFA-8;10213;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 10:53 AM;12/avr./22 10:53 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0003z:;;;;
Visualiser les statistiques d'utilisation du site ;AFA-7;10212;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 10:53 AM;12/avr./22 10:53 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0003r:;;;;
Enregistrer; modifier et supprimer les annonces et publicités des différents partenaires;AFA-6;10211;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;adminjira;adminjira;adminjira;12/avr./22 10:53 AM;13/avr./22 3:37 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0003j:;;;
Enregistrer les statistiques à la fin des matchs (score; meilleur buteur; nombre de cartons; photo du meilleur buteur; etcâ€¦);AFA-5;10210;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;adminjira;adminjira;adminjira;12/avr./22 10:53 AM;13/avr./22 3:37 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;AFA-22;;;0|i0003b:
Enregistrer les informations sur les saisons;AFA-4;10209;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;adminjira;adminjira;adminjira;12/avr./22 10:52 AM;13/avr./22 3:37 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i00033:;;;;
Lister; enregistrer et modifier les programmes de football dames et messieurs;AFA-3;10208;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;adminjira;adminjira;adminjira;12/avr./22 10:52 AM;13/avr./22 3:36 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0002v:;;;
Lister; enregistrer et modifier les programmes de marche sportive;AFA-2;10207;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;adminjira;adminjira;adminjira;12/avr./22 10:52 AM;13/avr./22 3:36 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i0002n:;;;
Connexion à la plateforme en utilisant une adresse email; un mot de passe et réinitialisation de son mot de passe;AFA-1;10206;;Récit;A faire;AFA;AFA;software;adminjira;;;Medium;;;adminjira;adminjira;12/avr./22 10:52 AM;13/avr./22 2:03 PM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;;;;0|i00044:;;;
Integrer l'etape test avec sonarqube  dans le CI de tous les projets internes GITLAB;DEV-11;10205;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;11/avr./22 9:37 AM;15/avr./22 12:51 PM;05/oct./22 9:47 AM;15/avr./22 12:51 PM;;0;;;adminjira;;;;;;;;;;DEV-13;;;0|i0001z:i;SEMAINE 11/04 - 23/04;;;
Lancer le WEB UI de sonarqube dans un container docker;DEV-10;10204;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;11/avr./22 9:36 AM;12/avr./22 1:37 PM;05/oct./22 9:47 AM;12/avr./22 1:37 PM;;0;;;adminjira;;;;;;;;;;DEV-13;;;0|i0001z:;SEMAINE 11/04 - 23/04;;;
Rediger un plan DRP complet avec Backup; Replica; Monitor;DEV-9;10203;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;08/avr./22 3:21 PM;21/avr./22 8:16 AM;05/oct./22 9:47 AM;21/avr./22 8:16 AM;;0;;;adminjira;;;;;;;;;;DEV-12;;;0|i0002a:;SEMAINE 11/04 - 23/04;
Planifier et tester l'exécution automatique du playbook;DEV-8;10202;;Récit;A faire;DEV;DevOps;software;adminjira;;;Medium;;marie.mbanga;adminjira;adminjira;08/avr./22 3:18 PM;25/avr./22 9:07 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;DEV-12;;;0|i0002e:;SEMAINE 25/04 - 08/05;;;
Ecrire et tester un playbook ansible qui execute le script de backup sur les serveurs distants;DEV-7;10201;;Récit;A faire;DEV;DevOps;software;adminjira;;;Medium;;marie.mbanga;adminjira;adminjira;08/avr./22 3:17 PM;25/avr./22 9:07 AM;05/oct./22 9:47 AM;;;0;;;adminjira;;;;;;;;;;DEV-12;;;0|i0002d:;SEMAINE 25/04 - 08/05;;;
Implementer et tester un script de backup vers s3 digital Ocean avec le client aws-cli sous linux;DEV-6;10200;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;08/avr./22 3:16 PM;21/avr./22 8:16 AM;05/oct./22 9:47 AM;21/avr./22 8:16 AM;;0;;;adminjira;;;;;;;;;;DEV-12;;;0|i00029:i;SEMAINE 11/04 - 23/04;;;
Documenter les installations sur GITLAB;DEV-5;10103;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;05/avr./22 2:51 PM;08/avr./22 3:20 PM;05/oct./22 9:47 AM;07/avr./22 9:51 AM;;0;;;adminjira;;;;;;;;;;;;;0|i0000v:;Deploiememt ODOO;;;
SETUP Odoo activer les modules demandes par la compta et creer les comptes des utilisateurs;DEV-4;10102;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;05/avr./22 2:50 PM;08/avr./22 3:20 PM;05/oct./22 9:47 AM;06/avr./22 3:40 PM;;0;;;adminjira;;;;;;;;;;;;;0|i0000n:;Deploiememt ODOO;;;
Creer un sous-domaine pour odoo et securiser le sous-domaine;DEV-3;10101;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;05/avr./22 2:50 PM;06/avr./22 3:40 PM;05/oct./22 9:47 AM;06/avr./22 3:40 PM;;0;;;adminjira;;;;;;;;;;;;;0|i0000f:;Deploiememt ODOO;;;
Configurer le vhost odoo ngnix et demarrer le conteneur ;DEV-2;10100;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;05/avr./22 2:49 PM;06/avr./22 3:40 PM;05/oct./22 9:47 AM;06/avr./22 3:40 PM;;0;;;adminjira;;;;;;;;;;;;;0|i00007:;Deploiememt ODOO;;;
Demarrer le conteneur de Odoo et postgres;DEV-1;10000;;Récit;Fini;DEV;DevOps;software;adminjira;;;Medium;Terminé;marie.mbanga;adminjira;adminjira;05/avr./22 2:42 PM;06/avr./22 3:39 PM;05/oct./22 9:47 AM;06/avr./22 3:39 PM;;0;;;adminjira;;;;;;;;;;;;;0|hzzzzz:;Deploiememt ODOO;;;
